key,time
d,2024-12-11 21:32:00
a,2024-12-11 21:32:00
s,2024-12-11 21:32:00
d,2024-12-11 21:32:00
a,2024-12-11 21:32:01
s,2024-12-11 21:32:01
d,2024-12-11 21:32:01
a,2024-12-11 21:32:02
s,2024-12-11 21:32:02
d,2024-12-11 21:32:02
a,2024-12-11 21:32:03
s,2024-12-11 21:32:03
d,2024-12-11 21:32:03
1,2024-12-11 21:32:03
2,2024-12-11 21:32:03
3,2024-12-11 21:32:03
1,2024-12-11 21:32:04
2,2024-12-11 21:32:04
3,2024-12-11 21:32:04
a,2024-12-12 20:36:29
s,2024-12-12 20:36:29
d,2024-12-12 20:36:29
s,2024-12-12 20:36:29
d,2024-12-12 20:36:29
f,2024-12-12 20:36:29
d,2024-12-12 20:36:29
f,2024-12-12 20:36:29
g,2024-12-12 20:36:29
1,2024-12-12 20:36:30
2,2024-12-12 20:36:30
3,2024-12-12 20:36:30
2,2024-12-12 20:36:30
3,2024-12-12 20:36:30
4,2024-12-12 20:36:30
5,2024-12-12 20:36:30
3,2024-12-12 20:36:30
5,2024-12-12 20:36:30
4,2024-12-12 20:36:30
Key.esc,2024-12-12 20:36:31
